Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Goddess, Tall, Thin, Round Face, Fair Skin, White Hair, grey-blue Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Fishtail Braid, small breasts, , beige velvet lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Dystopian metropolis
Baroness, Short, Narrow Hips, Square Face, Olive Skin, Chestnut Hair, yellow Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Bob with Bangs, full breasts, Dangle earrings, magenta gloss lipstick,  inside ((  wearing  Surfing wetsuit )), Underwater research facility
Chanteuse, Short, Lean, Triangular Face, Olive Skin, Red Hair, Gray Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Low Updo, large breasts, Clip-on earrings, rose satin lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Dystopian metropolis
Heiress, Tall, in shape, Triangular Face, Fair Skin, Gray Hair, turquoise Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob, saggy breasts, Faux gauge earrings, brown satin lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Underwater research facility
Duchess, Tall, Firm, Oval Face, Dark Skin, Auburn Hair, teal Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Half Up Half Down, asymmetrical breasts, Drop earrings, black gloss lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Alien planet with bioluminescent flora
Mistress, Tall, Skinny, Heart-Shaped Face, Dark Skin, Black Hair, gold Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, firm breasts, , black sheer lipstick,  inside ((  wearing  Athletic jumpsuit )), Dystopian metropolis
Songstress, Tall, Slim, Diamond-Shaped Face, Tan Skin, Black Hair, Blue Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Messy Beach Waves, firm breasts, Clip-on earrings, light pink stain lipstick,  inside ((  wearing  Boxing leggings and boxing hoodie )), Barren desert planet
Phenom, Tall, in shape, Triangular Face, Olive Skin, Strawberry Blonde Hair, coral Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fringed Bangs, soft breasts, Dangle earrings, terracotta gloss lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Jungle planet filled with dangerous creatures
Maven, Average Height, in shape, Round Face, Olive Skin, Red Hair, hazel Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Thick Hair, Bangs with Highlights, large breasts, Dangle earrings, rust velvet lipstick,  inside ((  wearing  Softball shorts and softball jersey )), City floating in the clouds
Goddess, Average Height, Skinny, Heart-Shaped Face, Dark Skin, Blonde Hair, Hazel Eyes with Green Flecks, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Bangs with Highlights, round breasts, Clip-on earrings, mauve cream lipstick,  inside ((  wearing  Athletic skirt and racerback tank top )), Jungle planet filled with dangerous creatures
Seductress, Tall, Thin, Heart-Shaped Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Messy Beach Waves, augmented breasts, Drop earrings, plum matte lipstick,  inside ((  wearing  Athletic dress )), Frozen tundra with icy mountains
Diva, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Brunette Hair, jade Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Boho Braid, large breasts, Clip-on earrings, brown metallic lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Barren desert planet
Woman, Tall, Firm, Square Face, Olive Skin, Chestnut Hair, Hazel Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Messy Bun, perky breasts, , golden metallic lipstick,  inside ((  wearing  Track pants and running singlet )), Frozen tundra with icy mountains
Lady, Average Height, Slim, Heart-Shaped Face, Tan Skin, Light Brown Hair, coral Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Viking Braid, large breasts, Threader earrings, rust velvet lipstick,  inside ((  wearing  leggings and tank top )), Alien planet with bioluminescent flora
Chanteuse, Short, in shape, Round Face, Fair Skin, Strawberry Blonde Hair, blue Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Shaggy Cut, augmented breasts, Faux gauge earrings, hot pink stain lipstick,  inside ((  wearing  Sweatshirt and yoga shorts )), Desolate lunar surface
Goddess, Average Height, Fit, Round Face, Dark Skin, Silver Hair, teal Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wavy Updo, asymmetrical breasts, , hot pink velvet lipstick,  inside ((  wearing  Boxing leggings and boxing hoodie )), Giant space station
Trailblazer, Tall, in shape, Square Face, Olive Skin, Chestnut Hair, aquamarine Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Stacked Bob, firm breasts, Dangle earrings, burgundy metallic lipstick,  inside ((  wearing  Running shorts and tank top )), Post-apocalyptic wasteland
Visionary, Tall, Wide Hips, Square Face, Tan Skin, Dark Brown Hair, gold Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Viking Braid, round breasts, , lavender satin lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Jungle planet filled with dangerous creatures
Sensation, Tall, Narrow Hips, Oval Face, Tan Skin, Silver Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Receding Chin, Long Hair, Curly Hair, Lace Braid, asymmetrical breasts, Threader earrings, violet matte lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Alien planet with bioluminescent flora
Queen, Tall, in shape, Round Face, Tan Skin, Honey Blonde Hair, grey Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Sleek Straight Hair, augmented breasts, Cuff earrings, mauve gloss lipstick,  inside ((  wearing  Yoga pants and loose tank top )), City floating in the clouds
Enigma, Tall, in shape, Diamond-Shaped Face, Olive Skin, Silver Hair, Gray Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Braided Crown, augmented breasts, Huggie earrings, mauve cream lipstick,  inside ((  wearing  Gym shorts and muscle tank )), Underwater research facility
Duchess, Average Height, in shape, Oval Face, Dark Skin, Strawberry Blonde Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Long Curled Updo, full breasts, Clip-on earrings, gloss gloss lipstick,  inside ((  wearing  Bike shorts compression top and tank top )), Frozen tundra with icy mountains
Enigma, Tall, Skinny, Round Face, Olive Skin, Strawberry Blonde Hair, Amber Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Sock Bun, small breasts, Clip-on earrings, teal gloss lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Jungle planet filled with dangerous creatures
Seductress, Short, Thin, Oval Face, Fair Skin, Dark Brown Hair, dark brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Sleek Straight Hair, round breasts, Faux gauge earrings, rust velvet lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Jungle planet filled with dangerous creatures
Enchantress, Average Height, Wide Hips, Oval Face, Fair Skin, Chestnut Hair, ice blue Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Updo, firm breasts, Hoop earrings, cherry gloss lipstick,  inside ((  wearing  Gym shorts and muscle tank )), City floating in the clouds
Woman, Average Height, Thin, Oval Face, Olive Skin, Black Hair, pink Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Tousled Waves, round breasts, , violet velvet lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Post-apocalyptic wasteland
Madame, Tall, Lean, Oval Face, Dark Skin, Dark Brown Hair, peach Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, large breasts, Huggie earrings, teal metallic lipstick,  inside ((  wearing  Spandex shorts and compression top )), Desolate lunar surface
Luminary, Tall, Lean, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, coral Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, French Braid, augmented breasts, Faux gauge earrings, magenta satin lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Jungle planet filled with dangerous creatures
Luminary, Tall, Firm, Triangular Face, Tan Skin, White Hair, red Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Beach Waves, round breasts, Huggie earrings, magenta metallic lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Frozen tundra with icy mountains
Starlet, Short, Wide Hips, Square Face, Tan Skin, White Hair, green Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Curly Hair, Middle Part Bangs, natural breasts, Faux gauge earrings, terracotta stain lipstick,  inside ((  wearing  Cycling shorts and cycling jersey )), Frozen tundra with icy mountains
Lady, Average Height, Narrow Hips, Triangular Face, Fair Skin, Silver Hair, gold Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Sleek Straight Hair, large breasts, Stud earrings, beige metallic lipstick,  inside ((  wearing  Running shorts and tank top )), City floating in the clouds
Empress, Short, Skinny, Square Face, Dark Skin, Platinum Blonde Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, High Chignon, small breasts, Huggie earrings, coral gloss lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Post-apocalyptic wasteland
Queen, Tall, Narrow Hips, Heart-Shaped Face, Dark Skin, Brunette Hair, Amber Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Loose Waves, augmented breasts, Cuff earrings, coral cream lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Giant space station
Lady, Tall, Athletic, Square Face, Fair Skin, Red Hair, coral Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Sock Bun, natural breasts, Hoop earrings, magenta sheer lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Jungle planet filled with dangerous creatures
Madam, Tall, Fit, Oval Face, Tan Skin, Brunette Hair, hazel Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Chignon, augmented breasts, Huggie earrings, beige stain lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), City floating in the clouds
Belle, Tall, Thin, Triangular Face, Olive Skin, Blonde Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Ballerina Bun, saggy breasts, Cuff earrings, peach satin lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Dystopian metropolis
Maven, Tall, Athletic, Triangular Face, Fair Skin, Black Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Fine Hair, Swept Bangs, small breasts, Dangle earrings, coral stain lipstick,  inside ((  wearing  Sweatpants and sweatshirt )), Barren desert planet
Temptress, Average Height, Toned, Diamond-Shaped Face, Tan Skin, Auburn Hair, black Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Low Ponytail, soft breasts, Clip-on earrings, burgundy gloss lipstick,  inside ((  wearing  Surfing wetsuit )), Post-apocalyptic wasteland
Enchantress, Short, in shape, Heart-Shaped Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Wide Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Four-Strand Braid, round breasts, Dangle earrings, terracotta matte lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Post-apocalyptic wasteland
Diva, Average Height, Skinny, Triangular Face, Dark Skin, Auburn Hair, jade Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, soft breasts, , light pink gloss lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Post-apocalyptic wasteland
Starlet, Short, Slim, Triangular Face, Dark Skin, Blonde Hair, hazel Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Wavy Updo, soft breasts, Threader earrings, orange stain lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Underwater research facility
Visionary, Tall, Thin, Heart-Shaped Face, Dark Skin, Gray Hair, Blue Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Wavy Layered Bob, natural breasts, , coral satin lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Dystopian metropolis
Gal, Short, Lean, Triangular Face, Tan Skin, Light Brown Hair, pink Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Straight Bob with Layers, soft breasts, Huggie earrings, brown satin lipstick,  inside ((  wearing  Spandex shorts and compression top )), Post-apocalyptic wasteland
Maven, Short, Lean, Oval Face, Fair Skin, Black Hair, brown Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Curled Bob, saggy breasts, Huggie earrings, berry matte lipstick,  inside ((  wearing  Boxing leggings and boxing hoodie )), Dystopian metropolis
Miss, Average Height, Slim, Square Face, Olive Skin, Strawberry Blonde Hair, coral Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Thick Hair, Low Chignon, large breasts, Drop earrings, terracotta gloss lipstick,  inside ((  wearing  Tennis skirt and athletic polo shirt )), Underwater research facility
Visionary, Short, Lean, Diamond-Shaped Face, Dark Skin, White Hair, Brown Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Boho Braid, large breasts, Stud earrings, hot pink matte lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Barren desert planet
Seductress, Average Height, Thin, Oval Face, Tan Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Herringbone Braid, soft breasts, Huggie earrings, lavender gloss lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Underwater research facility
Babe, Tall, Skinny, Heart-Shaped Face, Dark Skin, Chestnut Hair, blue Eyes, Short Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Half Up Half Down, round breasts, Stud earrings, rust matte lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Jungle planet filled with dangerous creatures
Songstress, Short, Fit, Heart-Shaped Face, Olive Skin, Light Brown Hair, peach Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Straight Hair, Angled Bob, round breasts, Threader earrings, pink satin lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Giant space station
Artist, Average Height, Thin, Oval Face, Tan Skin, White Hair, red Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, French Twist, perky breasts, Clip-on earrings, teal matte lipstick,  inside ((  wearing  Pilates pants and fitted long-sleeve top )), Desolate lunar surface
Artist, Average Height, Slim, Round Face, Tan Skin, Red Hair, hazel Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fringed Bangs, perky breasts, Dangle earrings, orange sheer lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Jungle planet filled with dangerous creatures
Femme fatale, Short, Athletic, Oval Face, Dark Skin, Golden Blonde Hair, red Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Curled Bob, natural breasts, Drop earrings, green velvet lipstick,  inside ((  wearing  Golf pants and golf polo )), Desolate lunar surface
Female Warrior, Short, Skinny, Oval Face, Dark Skin, Red Hair, Hazel Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, small breasts, , hot pink satin lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Barren desert planet
Femme fatale, Short, Skinny, Diamond-Shaped Face, Fair Skin, Auburn Hair, Sapphire Eyes, Narrow Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Curled Bob, large breasts, Dangle earrings, brown matte lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Underwater research facility
Dame, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Blonde Hair, silver Eyes, Wide Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Braided Headband, soft breasts, Dangle earrings, peach metallic lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Post-apocalyptic wasteland
Goddess, Short, in shape, Oval Face, Fair Skin, Red Hair, amethyst Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, saggy breasts, Faux gauge earrings, coral gloss lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Frozen tundra with icy mountains
