Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Strapless dresses, Siren, Tall, Slim, Diamond-Shaped Face, Tan Skin, Silver Hair, pink Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sock Bun, round breasts, Huggie earrings, peach velvet lipstick
Spaghetti strap dresses, Lady, Tall, Lean, Square Face, Dark Skin, Auburn Hair, pink Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Fishtail Braid, full breasts, Faux gauge earrings, coral cream lipstick
Off-the-shoulder dresses, Heiress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, White Hair, hazel Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Beach Waves, perky breasts, Clip-on earrings, grape matte lipstick
Sundresses, Temptress, Short, Firm, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, brown Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Messy Bun, firm breasts, Cuff earrings, grape sheer lipstick
Caftans, Miss, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Brown Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Middle Part Bangs, large breasts, Stud earrings, burgundy cream lipstick
Caftans, Female Viking, Average Height, Athletic, Square Face, Dark Skin, White Hair, black Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, firm breasts, Huggie earrings, fuchsia satin lipstick
Jumpsuits, Temptress, Short, Fit, Square Face, Olive Skin, Dark Brown Hair, ice blue Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Fishbone Braid, asymmetrical breasts, Cuff earrings, light pink matte lipstick
Short dresses, Madam, Average Height, Narrow Hips, Heart-Shaped Face, Olive Skin, Strawberry Blonde Hair, Green Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Stud earrings, grape metallic lipstick
Strapless dresses, Phenom, Average Height, Fit, Heart-Shaped Face, Fair Skin, Black Hair, black Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, asymmetrical breasts, Huggie earrings, cream matte lipstick
Maxi dresses, Female Viking, Short, Skinny, Square Face, Olive Skin, Brunette Hair, Sapphire Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Top Knot, asymmetrical breasts, Clip-on earrings, teal metallic lipstick
Jumpsuits, Temptress, Average Height, Narrow Hips, Oval Face, Fair Skin, Silver Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Chignon, round breasts, , golden sheer lipstick
Caftans, Enigma, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Brunette Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, asymmetrical breasts, Huggie earrings, rose gloss lipstick
Off-the-shoulder dresses, Diva, Average Height, Firm, Diamond-Shaped Face, Fair Skin, Blonde Hair, brown Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Long Curled Updo, small breasts, Stud earrings, fuchsia velvet lipstick
Short dresses, Starlet, Tall, Narrow Hips, Triangular Face, Dark Skin, Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, firm breasts, Threader earrings, shimmer metallic lipstick
Rompers, Baroness, Tall, Wide Hips, Triangular Face, Dark Skin, Silver Hair, brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, asymmetrical breasts, , terracotta velvet lipstick
Wrap dresses, Vixen, Tall, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, grey Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Chignon, augmented breasts, Stud earrings, red sheer lipstick
Strapless dresses, Miss, Tall, Fit, Square Face, Dark Skin, Gray Hair, grey Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Top Knot, full breasts, Clip-on earrings, lavender metallic lipstick
Sundresses, Songstress, Tall, Thin, Round Face, Fair Skin, Light Brown Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Curled Bob, saggy breasts, Cuff earrings, pink cream lipstick
Maxi dresses, Luminary, Tall, Skinny, Round Face, Dark Skin, Chestnut Hair, purple Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, asymmetrical breasts, Dangle earrings, violet velvet lipstick
Caftans, Starlet, Short, Firm, Heart-Shaped Face, Fair Skin, Chestnut Hair, amber Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, High Chignon, large breasts, Drop earrings, rose matte lipstick
Caftans, Heiress, Short, Narrow Hips, Round Face, Fair Skin, White Hair, coral Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Twisted Bun, large breasts, Clip-on earrings, cream velvet lipstick
Sleeveless dresses, Miss, Short, Slim, Diamond-Shaped Face, Olive Skin, Red Hair, Blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, large breasts, Drop earrings, soft pink matte lipstick
Off-the-shoulder dresses, Vixen, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Side-Swept Bangs, full breasts, Dangle earrings, peach satin lipstick
Wrap dresses, Charmer, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, pink Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Headband, saggy breasts, , magenta gloss lipstick
Jumpsuits, Diva, Short, Wide Hips, Triangular Face, Fair Skin, Gray Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Low Messy Bun, asymmetrical breasts, Dangle earrings, burgundy satin lipstick
Strapless dresses, Maven, Tall, Slim, Triangular Face, Dark Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, small breasts, Faux gauge earrings, golden cream lipstick
Off-the-shoulder dresses, Belle, Tall, Slim, Heart-Shaped Face, Tan Skin, Chestnut Hair, purple Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Straight Bob with Layers, natural breasts, Clip-on earrings, teal sheer lipstick
Halter dresses, Enchantress, Tall, Wide Hips, Square Face, Dark Skin, Dark Brown Hair, gold Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Bangs with Highlights, perky breasts, Faux gauge earrings, light pink satin lipstick
Caftans, Luminary, Average Height, Wide Hips, Round Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, augmented breasts, Huggie earrings, peach satin lipstick
Halter dresses, Enchantress, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Blonde Hair, aquamarine Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Lace Braid, saggy breasts, Threader earrings, mauve stain lipstick
Wrap dresses, Temptress, Tall, Slim, Oval Face, Tan Skin, Strawberry Blonde Hair, turquoise Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Braided Crown, augmented breasts, Hoop earrings, light pink velvet lipstick
Short dresses, Female Warrior, Tall, in shape, Diamond-Shaped Face, Dark Skin, Blonde Hair, pink Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Layered Bob, augmented breasts, , hot pink cream lipstick
Strapless dresses, Superwoman, Tall, Thin, Oval Face, Fair Skin, Honey Blonde Hair, blue Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, firm breasts, Threader earrings, lavender cream lipstick
Rompers, Diva, Average Height, Wide Hips, Oval Face, Tan Skin, Gray Hair, teal Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Short Afro, soft breasts, Threader earrings, golden cream lipstick
Sundresses, Mistress, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Gray Hair, Amber Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, small breasts, Huggie earrings, green velvet lipstick
Rompers, Miss, Average Height, Thin, Triangular Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Top Knot, full breasts, Dangle earrings, brown matte lipstick
Sleeveless dresses, Chanteuse, Tall, Athletic, Heart-Shaped Face, Fair Skin, Red Hair, Sapphire Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Swept Bangs, full breasts, Threader earrings, peach matte lipstick
Short dresses, Vixen, Short, Skinny, Oval Face, Olive Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fancy Updo, round breasts, Drop earrings, red gloss lipstick
Wrap dresses, Belle, Average Height, Lean, Oval Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Straight Bob with Layers, full breasts, Hoop earrings, golden sheer lipstick
Caftans, Escort, Short, Fit, Oval Face, Tan Skin, Red Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, firm breasts, Dangle earrings, mauve sheer lipstick
Sundresses, Baroness, Tall, Wide Hips, Oval Face, Tan Skin, Dark Brown Hair, dark brown Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Swept Bangs, natural breasts, Drop earrings, peach matte lipstick
Off-the-shoulder dresses, Goddess, Average Height, in shape, Square Face, Tan Skin, Golden Blonde Hair, jade Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curled Updo, perky breasts, Faux gauge earrings, rust stain lipstick
Jumpsuits, Female Warrior, Tall, Thin, Oval Face, Fair Skin, Black Hair, gold Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Loose Curls, firm breasts, Clip-on earrings, plum matte lipstick
Halter dresses, Gal, Short, in shape, Round Face, Olive Skin, Dark Brown Hair, light blue Eyes, Long Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, High Messy Bun, full breasts, Clip-on earrings, mauve stain lipstick
Jumpsuits, Visionary, Tall, Thin, Triangular Face, Olive Skin, Light Brown Hair, Blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Half Up Half Down, natural breasts, Stud earrings, orange gloss lipstick
Short dresses, Miss, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, jade Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Low Messy Bun, firm breasts, Drop earrings, cherry velvet lipstick
Sundresses, Trailblazer, Short, Wide Hips, Round Face, Olive Skin, Red Hair, pink Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, perky breasts, Huggie earrings, peach sheer lipstick
Maxi dresses, Female Warrior, Tall, Narrow Hips, Triangular Face, Olive Skin, Platinum Blonde Hair, jade Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Curly Hair, Sleek Straight Hair, large breasts, , green sheer lipstick
Rompers, Duchess, Tall, Lean, Diamond-Shaped Face, Olive Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Sock Bun, asymmetrical breasts, , rust cream lipstick
Spaghetti strap dresses, Diva, Average Height, Fit, Oval Face, Fair Skin, Chestnut Hair, green Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Viking Braid, perky breasts, Drop earrings, magenta metallic lipstick
Short dresses, Heiress, Short, Toned, Square Face, Dark Skin, Blonde Hair, green Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Shaggy Cut, round breasts, Hoop earrings, teal sheer lipstick
Wrap dresses, Empress, Average Height, Athletic, Square Face, Olive Skin, Silver Hair, yellow Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Low Ponytail, round breasts, Stud earrings, soft pink velvet lipstick
Spaghetti strap dresses, Phenom, Tall, Toned, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, Blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Beach Waves, perky breasts, Drop earrings, grape stain lipstick
Jumpsuits, Duchess, Short, Slim, Round Face, Olive Skin, Dark Brown Hair, ice blue Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Fishtail Braid, round breasts, Faux gauge earrings, burgundy velvet lipstick
Spaghetti strap dresses, Diva, Short, Athletic, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Blunt Bangs, small breasts, Cuff earrings, rose gloss lipstick
Off-the-shoulder dresses, Starlet, Short, in shape, Diamond-Shaped Face, Fair Skin, Silver Hair, Gray Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Wavy Hair, Middle Part Bangs, augmented breasts, Faux gauge earrings, brown velvet lipstick
Strapless dresses, Woman, Short, Firm, Diamond-Shaped Face, Dark Skin, Gray Hair, teal Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Low Updo, saggy breasts, , magenta velvet lipstick
Maxi dresses, Starlet, Tall, Firm, Round Face, Olive Skin, Silver Hair, gold Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Bouncy Curls, augmented breasts, Stud earrings, peach velvet lipstick
Spaghetti strap dresses, Queen, Tall, Toned, Heart-Shaped Face, Fair Skin, Chestnut Hair, grey-blue Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Half Up Half Down, round breasts, Threader earrings, peach stain lipstick
Sundresses, Seductress, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, blue Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Low Messy Bun, saggy breasts, , plum sheer lipstick
Caftans, Lady, Tall, Lean, Heart-Shaped Face, Dark Skin, Auburn Hair, Sapphire Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, firm breasts, Faux gauge earrings, hot pink matte lipstick
Maxi dresses, Femme fatale, Tall, Skinny, Oval Face, Fair Skin, Blonde Hair, light blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, French Roll, asymmetrical breasts, Hoop earrings, orange satin lipstick
Sleeveless dresses, Baroness, Tall, Toned, Oval Face, Fair Skin, Gray Hair, brown Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Chignon, natural breasts, Dangle earrings, golden velvet lipstick
Off-the-shoulder dresses, Mistress, Tall, Narrow Hips, Diamond-Shaped Face, Olive Skin, White Hair, grey Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Curly Afro, saggy breasts, Huggie earrings, violet satin lipstick
Sundresses, Enchantress, Average Height, Fit, Round Face, Tan Skin, Light Brown Hair, black Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Dutch Braid, perky breasts, , mauve gloss lipstick
Jumpsuits, Baroness, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Bun, natural breasts, Dangle earrings, golden matte lipstick
Jumpsuits, Charmer, Average Height, in shape, Round Face, Tan Skin, Chestnut Hair, Brown Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Shoulder-Length Curls, large breasts, Faux gauge earrings, terracotta sheer lipstick
Wrap dresses, Visionary, Short, in shape, Round Face, Tan Skin, Silver Hair, grey Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, augmented breasts, Drop earrings, red sheer lipstick
Sundresses, Siren, Average Height, Fit, Square Face, Olive Skin, Red Hair, aquamarine Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Loose Waves, round breasts, Threader earrings, cherry cream lipstick
Short dresses, Starlet, Average Height, Fit, Oval Face, Fair Skin, Black Hair, hazel Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Loose Waves, saggy breasts, Huggie earrings, soft pink satin lipstick
Spaghetti strap dresses, Superwoman, Tall, Athletic, Oval Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Tapered Afro, full breasts, Faux gauge earrings, black metallic lipstick
Sundresses, Heiress, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Gray Hair, ruby Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Twisted Bun, small breasts, Drop earrings, coral metallic lipstick
Rompers, Lady, Short, in shape, Triangular Face, Olive Skin, Strawberry Blonde Hair, dark brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Low Ponytail, soft breasts, Stud earrings, cherry matte lipstick
Maxi dresses, Countess, Average Height, Thin, Oval Face, Dark Skin, Golden Blonde Hair, dark brown Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Loose Curls, perky breasts, Hoop earrings, magenta velvet lipstick
Off-the-shoulder dresses, Baroness, Tall, Fit, Square Face, Fair Skin, Honey Blonde Hair, Brown Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, perky breasts, Drop earrings, orange matte lipstick
Jumpsuits, Songstress, Average Height, Athletic, Square Face, Tan Skin, Black Hair, purple Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, High Messy Bun, full breasts, , terracotta metallic lipstick
Strapless dresses, Female Warrior, Average Height, Slim, Diamond-Shaped Face, Dark Skin, White Hair, silver Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Sleek Bun, firm breasts, Faux gauge earrings, golden stain lipstick
Strapless dresses, Seductress, Tall, Lean, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, saggy breasts, Hoop earrings, terracotta sheer lipstick
Sundresses, Woman, Short, Firm, Heart-Shaped Face, Fair Skin, White Hair, jade Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, large breasts, Clip-on earrings, lavender metallic lipstick
Maxi dresses, Starlet, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, hazel Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, firm breasts, Faux gauge earrings, plum cream lipstick
