autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
summer, A floral midi dress with sandals and a straw hat, Dame, Average Height, Fit, Square Face, Olive Skin, Blonde Hair, brown Eyes, Wide Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Fishtail Crown Braid, asymmetrical breasts, Drop earrings, peach gloss lipstick
autumn, A pleated midi skirt with a blouse and loafers, Dame, Average Height, Thin, Diamond-Shaped Face, Fair Skin, Auburn Hair, black Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Smooth Waves, firm breasts, Threader earrings, golden sheer lipstick
summer, A maxi dress with sandals, Woman, Tall, Narrow Hips, Round Face, Fair Skin, Black Hair, gold Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Roll, asymmetrical breasts, , berry sheer lipstick
autumn, A floral maxi dress with heeled boots, Phenom, Tall, Lean, Diamond-Shaped Face, Fair Skin, Platinum Blonde Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Long Hair, Wavy Hair, Swept Bangs, augmented breasts, Hoop earrings, grape stain lipstick
autumn, A denim jacket with a sweater and jeans, Superwoman, Tall, Lean, Square Face, Dark Skin, Auburn Hair, Hazel Eyes with Green Flecks, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Swept Bangs, saggy breasts, Clip-on earrings, magenta cream lipstick
autumn, A denim jacket with a sweater and jeans, Goddess, Tall, Lean, Triangular Face, Tan Skin, Light Brown Hair, purple Eyes, Wide Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, French Roll, saggy breasts, Stud earrings, gloss metallic lipstick
autumn, A collared shirt with a pleated skirt and booties, Charmer, Short, Thin, Square Face, Dark Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Round Chin, Long Hair, Straight Hair, Sleek Bun, small breasts, Dangle earrings, rust matte lipstick
winter, A wrap dress with heeled booties, Gal, Short, Wide Hips, Diamond-Shaped Face, Dark Skin, Blonde Hair, hazel Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Middle Part Bangs, full breasts, Drop earrings, magenta stain lipstick
summer, A strapless sundress with a denim jacket and espadrilles, Woman, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Dark Brown Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Wavy Hair, Frohawk, large breasts, Faux gauge earrings, violet sheer lipstick
winter, A jumpsuit with a belt and pumps, Lady, Tall, Fit, Oval Face, Olive Skin, Chestnut Hair, light blue Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Shaggy Cut, soft breasts, , light pink matte lipstick
spring, A floral maxi dress with strappy sandals, Femme fatale, Average Height, Narrow Hips, Square Face, Tan Skin, Red Hair, Blue Eyes with Green Flecks, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, augmented breasts, Stud earrings, black cream lipstick
autumn, A turtleneck dress with ankle boots and a leather jacket, Babe, Average Height, Wide Hips, Diamond-Shaped Face, Olive Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Middle Part Bangs, large breasts, Huggie earrings, grape velvet lipstick
winter, A wrap dress with heeled booties, Babe, Short, Athletic, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, Blue Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Curly Hair, Straight Updo, asymmetrical breasts, Stud earrings, golden sheer lipstick
spring, A flowy sundress with a denim jacket and sneakers, Empress, Short, Toned, Oval Face, Dark Skin, Auburn Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Fishbone Braid, soft breasts, Hoop earrings, red satin lipstick
winter, Parka with a sweater and thermal wear, Miss, Tall, Firm, Round Face, Dark Skin, Auburn Hair, yellow Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Stacked Bob, saggy breasts, Threader earrings, rust velvet lipstick
summer, A strapless sundress with a denim jacket and espadrilles, Miss, Average Height, Thin, Square Face, Tan Skin, Dark Brown Hair, grey-blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curly Hair, firm breasts, Hoop earrings, black metallic lipstick
winter, A button-down dress with a wool scarf and loafers, Female Warrior, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, gold Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Side Bangs, round breasts, Faux gauge earrings, rose metallic lipstick
summer, A sundress with a denim jacket and sneakers, Phenom, Tall, Narrow Hips, Square Face, Olive Skin, Blonde Hair, amethyst Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, High Messy Bun, round breasts, Threader earrings, rust sheer lipstick
winter, An oversized faux fur coat with black jeans and heels, Duchess, Tall, Toned, Oval Face, Fair Skin, Honey Blonde Hair, Brown Eyes, Short Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Fishbone Braid, soft breasts, Clip-on earrings, gloss matte lipstick
winter, An oversized faux fur coat with black jeans and heels, Baroness, Tall, Skinny, Oval Face, Tan Skin, Light Brown Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, large breasts, Stud earrings, plum cream lipstick
winter, An oversized faux fur coat with black jeans and heels, Sensation, Short, in shape, Triangular Face, Dark Skin, Silver Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, round breasts, Dangle earrings, black velvet lipstick
autumn, An oversized blazer with dark jeans and block heels, Sensation, Short, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, Green Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Twisted Bun, saggy breasts, Clip-on earrings, violet sheer lipstick
winter, Sweater with a scarf, beanie and gloves, Trailblazer, Average Height, Toned, Round Face, Olive Skin, Light Brown Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Wedding Updo, perky breasts, Drop earrings, brown stain lipstick
spring, An oversized blazer with black jeans and heels, Enchantress, Tall, Slim, Square Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Double Braided Crown, saggy breasts, Threader earrings, light pink cream lipstick
summer, A printed romper with heeled mules and a crossbody bag, Phenom, Tall, Wide Hips, Oval Face, Fair Skin, Chestnut Hair, red Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Blunt Cut Bangs, full breasts, Faux gauge earrings, magenta matte lipstick
spring, A flowy sundress with a denim jacket and sneakers, Songstress, Tall, Skinny, Oval Face, Olive Skin, Light Brown Hair, yellow Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Fishbone Braid, perky breasts, Dangle earrings, burgundy stain lipstick
summer, A striped jumpsuit with a denim vest, Siren, Tall, Slim, Diamond-Shaped Face, Tan Skin, Silver Hair, pink Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Sock Bun, round breasts, Huggie earrings, peach velvet lipstick
spring, A collared shirt with a pleated skirt and ballet flats, Lady, Tall, Lean, Square Face, Dark Skin, Auburn Hair, pink Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Fishtail Braid, full breasts, Faux gauge earrings, coral cream lipstick
winter, Parka with a sweater and thermal wear, Heiress, Average Height, Narrow Hips, Heart-Shaped Face, Dark Skin, White Hair, hazel Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Beach Waves, perky breasts, Clip-on earrings, grape matte lipstick
summer, A lightweight sweater with shorts and sneakers, Temptress, Short, Firm, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, brown Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Low Messy Bun, firm breasts, Cuff earrings, grape sheer lipstick
spring, A sleeveless blouse with a denim skirt and heels, Miss, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Brown Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Middle Part Bangs, large breasts, Stud earrings, burgundy cream lipstick
autumn, A hoodie with sweatpants and sneakers, Female Viking, Average Height, Athletic, Square Face, Dark Skin, White Hair, black Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, firm breasts, Huggie earrings, fuchsia satin lipstick
winter, Turtleneck sweater with a puffer jacket and snow pants, Temptress, Short, Fit, Square Face, Olive Skin, Dark Brown Hair, ice blue Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Fishbone Braid, asymmetrical breasts, Cuff earrings, light pink matte lipstick
winter, An oversized faux fur coat with black jeans and heels, Madam, Average Height, Narrow Hips, Heart-Shaped Face, Olive Skin, Strawberry Blonde Hair, Green Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, full breasts, Stud earrings, grape metallic lipstick
summer, A sleeveless blouse with a midi skirt and wedges, Phenom, Average Height, Fit, Heart-Shaped Face, Fair Skin, Black Hair, black Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Shaggy Cut, asymmetrical breasts, Huggie earrings, cream matte lipstick
autumn, A chunky knit sweater with corduroy pants and sneakers, Female Viking, Short, Skinny, Square Face, Olive Skin, Brunette Hair, Sapphire Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Top Knot, asymmetrical breasts, Clip-on earrings, teal metallic lipstick
spring, A pastel lightweight sweater with cropped white jeans and sneakers, Temptress, Average Height, Narrow Hips, Oval Face, Fair Skin, Silver Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, High Chignon, round breasts, , golden sheer lipstick
autumn, A turtleneck with a midi skirt and ankle boots, Enigma, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Brunette Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, asymmetrical breasts, Huggie earrings, rose gloss lipstick
autumn, A tweed blazer with a white tee and jeans, Diva, Average Height, Firm, Diamond-Shaped Face, Fair Skin, Blonde Hair, brown Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, Long Curled Updo, small breasts, Stud earrings, fuchsia velvet lipstick
spring, A floral maxi dress with strappy sandals, Starlet, Tall, Narrow Hips, Triangular Face, Dark Skin, Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Sleek Straight Hair, firm breasts, Threader earrings, shimmer metallic lipstick
autumn, A lightweight sweater with corduroy pants and sneakers, Baroness, Tall, Wide Hips, Triangular Face, Dark Skin, Silver Hair, brown Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, asymmetrical breasts, , terracotta velvet lipstick
spring, A pastel sweater with a pleated skirt and espadrilles, Vixen, Tall, Firm, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, grey Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Chignon, augmented breasts, Stud earrings, red sheer lipstick
winter, An oversized faux fur coat with black jeans and heels, Miss, Tall, Fit, Square Face, Dark Skin, Gray Hair, grey Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Top Knot, full breasts, Clip-on earrings, lavender metallic lipstick
autumn, An oversized blazer with dark jeans and block heels, Songstress, Tall, Thin, Round Face, Fair Skin, Light Brown Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Curled Bob, saggy breasts, Cuff earrings, pink cream lipstick
spring, A button-down shirt with white pants and sandals, Luminary, Tall, Skinny, Round Face, Dark Skin, Chestnut Hair, purple Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, asymmetrical breasts, Dangle earrings, violet velvet lipstick
spring, A button-down shirt with white pants and sandals, Starlet, Short, Firm, Heart-Shaped Face, Fair Skin, Chestnut Hair, amber Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, High Chignon, large breasts, Drop earrings, rose matte lipstick
spring, A button-down dress with a neck scarf and sneakers, Heiress, Short, Narrow Hips, Round Face, Fair Skin, White Hair, coral Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Twisted Bun, large breasts, Clip-on earrings, cream velvet lipstick
autumn, A plaid shirt with leggings and tall boots, Miss, Short, Slim, Diamond-Shaped Face, Olive Skin, Red Hair, Blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, large breasts, Drop earrings, soft pink matte lipstick
autumn, A button-down dress with a scarf and loafers, Vixen, Average Height, Wide Hips, Diamond-Shaped Face, Dark Skin, Dark Brown Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Side-Swept Bangs, full breasts, Dangle earrings, peach satin lipstick
spring, An oversized blazer with black jeans and heels, Charmer, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, pink Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Headband, saggy breasts, , magenta gloss lipstick
spring, A sundress with sandals and a denim jacket, Diva, Short, Wide Hips, Triangular Face, Fair Skin, Gray Hair, Sapphire Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Low Messy Bun, asymmetrical breasts, Dangle earrings, burgundy satin lipstick
winter, A button-down dress with a wool scarf and loafers, Maven, Tall, Slim, Triangular Face, Dark Skin, Honey Blonde Hair, blue Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Four-Strand Braid, small breasts, Faux gauge earrings, golden cream lipstick
autumn, A denim jacket with a sweater and jeans, Belle, Tall, Slim, Heart-Shaped Face, Tan Skin, Chestnut Hair, purple Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Straight Bob with Layers, natural breasts, Clip-on earrings, teal sheer lipstick
summer, A lightweight sweater with shorts and sneakers, Enchantress, Tall, Wide Hips, Square Face, Dark Skin, Dark Brown Hair, gold Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Bangs with Highlights, perky breasts, Faux gauge earrings, light pink satin lipstick
spring, A flowy sundress with a denim jacket and sneakers, Luminary, Average Height, Wide Hips, Round Face, Tan Skin, Golden Blonde Hair, turquoise Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, augmented breasts, Huggie earrings, peach satin lipstick
winter, Turtleneck sweater with a coat and pantsA turtleneck dress with knee-high boots and a wool coat, Enchantress, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Blonde Hair, aquamarine Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Lace Braid, saggy breasts, Threader earrings, mauve stain lipstick
spring, A floral maxi dress with strappy sandals, Temptress, Tall, Slim, Oval Face, Tan Skin, Strawberry Blonde Hair, turquoise Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Braided Crown, augmented breasts, Hoop earrings, light pink velvet lipstick
summer, A tank top with shorts and sneakers, Female Warrior, Tall, in shape, Diamond-Shaped Face, Dark Skin, Blonde Hair, pink Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Layered Bob, augmented breasts, , hot pink cream lipstick
autumn, A sweater with skinny jeans and ankle boots, Superwoman, Tall, Thin, Oval Face, Fair Skin, Honey Blonde Hair, blue Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Straight Bob with Layers, firm breasts, Threader earrings, lavender cream lipstick
autumn, A wrap dress with heeled booties, Diva, Average Height, Wide Hips, Oval Face, Tan Skin, Gray Hair, teal Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Short Afro, soft breasts, Threader earrings, golden cream lipstick
winter, Turtleneck sweater with a puffer jacket and snow pants, Mistress, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Gray Hair, Amber Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, small breasts, Huggie earrings, green velvet lipstick
winter, A button-down dress with a wool scarf and loafers, Miss, Average Height, Thin, Triangular Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Top Knot, full breasts, Dangle earrings, brown matte lipstick
winter, Sweater dress with boots and tights, Chanteuse, Tall, Athletic, Heart-Shaped Face, Fair Skin, Red Hair, Sapphire Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Swept Bangs, full breasts, Threader earrings, peach matte lipstick
winter, A printed romper with heeled boots and a wide-brim hat, Vixen, Short, Skinny, Oval Face, Olive Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Fancy Updo, round breasts, Drop earrings, red gloss lipstick
