Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Radium, ankle cuff, Woman, Short, Firm, Diamond-Shaped Face, Dark Skin, Gray Hair, teal Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Low Updo, saggy breasts, , magenta velvet lipstick, Yellow Lace Garter Belt 
Gold, friendship bracelet, Starlet, Tall, Firm, Round Face, Olive Skin, Silver Hair, gold Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Bouncy Curls, augmented breasts, Stud earrings, peach velvet lipstick, Purple Velvet Robe with Fur Trim 
Osmium, ankle strap, Queen, Tall, Toned, Heart-Shaped Face, Fair Skin, Chestnut Hair, grey-blue Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Half Up Half Down, round breasts, Threader earrings, peach stain lipstick, Black Sheer Teddy with Floral Applique
Platinum, multi-strand necklace, Seductress, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, blue Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Low Messy Bun, saggy breasts, , plum sheer lipstick, White Sheer Teddy with Lace Trim
Radium, cocktail brooch, Lady, Tall, Lean, Heart-Shaped Face, Dark Skin, Auburn Hair, Sapphire Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Wavy Hair, Rope Braid, firm breasts, Faux gauge earrings, hot pink matte lipstick, Tan Faux Leather Slip Dress
Indium, bib necklace, Femme fatale, Tall, Skinny, Oval Face, Fair Skin, Blonde Hair, light blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Curly Hair, French Roll, asymmetrical breasts, Hoop earrings, orange satin lipstick, Black Lace Bustier
Gallium, bib necklace, Baroness, Tall, Toned, Oval Face, Fair Skin, Gray Hair, brown Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Chignon, natural breasts, Dangle earrings, golden velvet lipstick, Purple Mesh Babydoll with Matching G-String
Indium, cuff bracelet, Mistress, Tall, Narrow Hips, Diamond-Shaped Face, Olive Skin, White Hair, grey Eyes, Wide Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Curly Afro, saggy breasts, Huggie earrings, violet satin lipstick, Pink Lace Garter Slip with Matching Thong
Tantalum, cocktail ring, Enchantress, Average Height, Fit, Round Face, Tan Skin, Light Brown Hair, black Eyes, Long Nose, Pouty Lips, Receding Chin, Long Hair, Thick Hair, Dutch Braid, perky breasts, , mauve gloss lipstick, Olive Green Mesh Garter Belt with Stockings
Gallium, cuff bracelet, Baroness, Short, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, light blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Bun, natural breasts, Dangle earrings, golden matte lipstick, Black Cutout Bodysuit with Zipper
Indium, necklace, Charmer, Average Height, in shape, Round Face, Tan Skin, Chestnut Hair, Brown Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Thick Hair, Shoulder-Length Curls, large breasts, Faux gauge earrings, terracotta sheer lipstick, White Sheer Teddy with Lace Trim
Germanium, pendant, Visionary, Short, in shape, Round Face, Tan Skin, Silver Hair, grey Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Fishtail Crown Braid, augmented breasts, Drop earrings, red sheer lipstick, Black Lace Bustier
Radium, tennis bracelet, Siren, Average Height, Fit, Square Face, Olive Skin, Red Hair, aquamarine Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Loose Waves, round breasts, Threader earrings, cherry cream lipstick, Green Silk Bralette and Panty Set
Radium, cocktail brooch, Starlet, Average Height, Fit, Oval Face, Fair Skin, Black Hair, hazel Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Loose Waves, saggy breasts, Huggie earrings, soft pink satin lipstick, Blue Sheer Babydoll with Satin Trim
Iridium, cocktail brooch, Superwoman, Tall, Athletic, Oval Face, Olive Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Short Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Tapered Afro, full breasts, Faux gauge earrings, black metallic lipstick, Pink Lace Chemise with Ruffle Details
Indium, tassel necklace, Heiress, Short, Wide Hips, Heart-Shaped Face, Fair Skin, Gray Hair, ruby Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Twisted Bun, small breasts, Drop earrings, coral metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Platinum, tennis bracelet, Lady, Short, in shape, Triangular Face, Olive Skin, Strawberry Blonde Hair, dark brown Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Low Ponytail, soft breasts, Stud earrings, cherry matte lipstick, Yellow Lace Garter Belt 
Iridium, multi-strand necklace, Countess, Average Height, Thin, Oval Face, Dark Skin, Golden Blonde Hair, dark brown Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Loose Curls, perky breasts, Hoop earrings, magenta velvet lipstick, Black Lace Bustier
Rhodium, tennis necklace, Baroness, Tall, Fit, Square Face, Fair Skin, Honey Blonde Hair, Brown Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, perky breasts, Drop earrings, orange matte lipstick, White Satin and Lace Bra and Panty Set
Rhenium, tennis bracelet, Songstress, Average Height, Athletic, Square Face, Tan Skin, Black Hair, purple Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, High Messy Bun, full breasts, , terracotta metallic lipstick, Maroon Satin and Lace Corset 
Gold, necklace, Female Warrior, Average Height, Slim, Diamond-Shaped Face, Dark Skin, White Hair, silver Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Sleek Bun, firm breasts, Faux gauge earrings, golden stain lipstick, Red Mesh Chemise with Strappy Back Detail
Silver, tassel necklace, Seductress, Tall, Lean, Diamond-Shaped Face, Olive Skin, Dark Brown Hair, yellow Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, saggy breasts, Hoop earrings, terracotta sheer lipstick, Blue Sheer Babydoll with Satin Trim
Platinum, flower brooch, Woman, Short, Firm, Heart-Shaped Face, Fair Skin, White Hair, jade Eyes, Straight Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Donut Bun, large breasts, Clip-on earrings, lavender metallic lipstick, Silver Sequin Bralette
Tantalum, ankle strap, Starlet, Average Height, Narrow Hips, Diamond-Shaped Face, Fair Skin, Strawberry Blonde Hair, hazel Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, firm breasts, Faux gauge earrings, plum cream lipstick, Silver Sequin Bralette
Rhodium, tennis necklace, Seductress, Short, Narrow Hips, Diamond-Shaped Face, Tan Skin, Red Hair, teal Eyes, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Wedding Updo, large breasts, Dangle earrings, brown velvet lipstick, Yellow Lace Halter Bralette and Thong Set
Gallium, toggle bracelet, Temptress, Tall, Thin, Triangular Face, Tan Skin, Silver Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fishtail Braid, firm breasts, Clip-on earrings, pink metallic lipstick, Plum Satin and Lace Bustier 
Germanium, ankle bracelet, Enigma, Tall, Lean, Triangular Face, Fair Skin, Blonde Hair, teal Eyes, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Voluminous Waves, perky breasts, Huggie earrings, peach metallic lipstick, Green Satin and Lace Garter Belt with Matching Thong
Germanium, anklet, Empress, Tall, Slim, Square Face, Tan Skin, Black Hair, turquoise Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Afro, full breasts, Huggie earrings, magenta metallic lipstick, Teal Velvet Chemise with Ruffles 
Radium, brooch, Mistress, Short, Lean, Square Face, Tan Skin, Golden Blonde Hair, ruby Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, French Roll, natural breasts, Clip-on earrings, brown stain lipstick, Teal Velvet Chemise with Ruffles 
Platinum, cocktail ring, Charmer, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Silver Hair, amethyst Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Stacked Bob, small breasts, Cuff earrings, cherry sheer lipstick, Black Sheer Teddy with Floral Applique
Platinum, ankle strap, Queen, Tall, Thin, Diamond-Shaped Face, Tan Skin, Light Brown Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Wavy Hair, Long Straight Hair, soft breasts, Stud earrings, golden sheer lipstick, White Lace Bralette and Boyshorts Set
Silver, pearl necklace, Enchantress, Average Height, Toned, Oval Face, Dark Skin, Black Hair, peach Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Thick Hair, Loose Waves, large breasts, Stud earrings, rust sheer lipstick, Pink Lace Chemise with Ruffle Details
Rhodium, watch bracelet, Lady, Average Height, Firm, Round Face, Olive Skin, Brunette Hair, Amber Eyes, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Triple Braided Crown, soft breasts, , grape matte lipstick, Ivory Lace Teddy
Rhodium, animal brooch, Madame, Average Height, Athletic, Oval Face, Fair Skin, Strawberry Blonde Hair, grey-blue Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Fishtail Braid, perky breasts, Threader earrings, teal velvet lipstick, Yellow Lace Halter Bralette and Thong Set
Rhenium, tennis bracelet, Lady, Short, Narrow Hips, Oval Face, Fair Skin, Brunette Hair, light blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Chignon, asymmetrical breasts, Drop earrings, red matte lipstick, Teal Velvet Chemise with Ruffles 
Beryllium, chain bracelet, Duchess, Short, Firm, Oval Face, Fair Skin, Platinum Blonde Hair, grey-blue Eyes, Straight Nose, Thick Lips, Receding Chin, Long Hair, Straight Hair, Shaggy Cut, small breasts, Hoop earrings, brown sheer lipstick, Grey Faux Leather Corset 
Silver, cocktail brooch, Charmer, Short, Thin, Square Face, Tan Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Loose Waves, full breasts, Cuff earrings, pink matte lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Palladium, brooch pin, Lady, Tall, in shape, Triangular Face, Dark Skin, Chestnut Hair, brown Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Wavy Updo, asymmetrical breasts, Clip-on earrings, teal cream lipstick, Blue Strappy Bodysuit with Cutouts
Ruthenium, brooch pin, Belle, Average Height, Thin, Oval Face, Fair Skin, Light Brown Hair, purple Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Dutch Braid, natural breasts, Faux gauge earrings, lavender stain lipstick, Silver Sequin Bralette
Beryllium, bib necklace, Queen, Short, Narrow Hips, Round Face, Tan Skin, Light Brown Hair, black Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Coarse Hair, Braided Crown, firm breasts, Cuff earrings, violet velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Gallium, flower brooch, Visionary, Short, Wide Hips, Oval Face, Dark Skin, Golden Blonde Hair, red Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Rope Braid, augmented breasts, Clip-on earrings, grape gloss lipstick, Gold Strappy Bodysuit
Silver, beaded necklace, Enchantress, Short, Firm, Diamond-Shaped Face, Dark Skin, Blonde Hair, red Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Fancy Updo, small breasts, Stud earrings, hot pink velvet lipstick, Turquoise Sheer Chemise with Cutouts
Beryllium, torc necklace, Empress, Average Height, Firm, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, coral Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Angled Bob, full breasts, Hoop earrings, rose satin lipstick, Purple Velvet Robe with Fur Trim 
Gallium, cocktail ring, Escort, Tall, Thin, Diamond-Shaped Face, Olive Skin, Chestnut Hair, ice blue Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, High Bun, augmented breasts, Stud earrings, brown cream lipstick, Black Sheer Teddy with Floral Applique
Rhenium, ankle cuff, Woman, Average Height, Fit, Oval Face, Olive Skin, Auburn Hair, Gray Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Formal Braided Updo, asymmetrical breasts, Dangle earrings, terracotta sheer lipstick, Orange Satin Slip
Silver, necklace, Dame, Tall, Fit, Round Face, Olive Skin, Brunette Hair, Amber Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, French Roll, firm breasts, Stud earrings, magenta velvet lipstick, Pink Floral Corset
Iridium, ankle strap, Starlet, Short, Athletic, Diamond-Shaped Face, Olive Skin, Brunette Hair, teal Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Straight Hair, Messy Beach Waves, perky breasts, Dangle earrings, light pink cream lipstick, Grey Faux Leather Corset 
Tantalum, vintage brooch, Luminary, Short, in shape, Round Face, Olive Skin, White Hair, Brown Eyes with Green Flecks, Straight Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Twisted Bun, small breasts, Hoop earrings, rose velvet lipstick, Purple Velvet Robe with Fur Trim 
Radium, bangle bracelet, Heiress, Tall, Narrow Hips, Round Face, Fair Skin, Dark Brown Hair, blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Twisted Bun, round breasts, Cuff earrings, violet sheer lipstick, Silver Silk Bra and Panty Set with Garter Belt
Platinum, choker, Madame, Average Height, Toned, Oval Face, Olive Skin, Red Hair, Gray Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Top Knot, soft breasts, Huggie earrings, black satin lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Platinum, vintage brooch, Seductress, Short, Fit, Triangular Face, Tan Skin, Chestnut Hair, aquamarine Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Sleek Straight Hair, large breasts, Threader earrings, rust satin lipstick, Mint Green Mesh Teddy 
Beryllium, slave bracelet, Miss, Short, in shape, Triangular Face, Fair Skin, Blonde Hair, light blue Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Braided Headband, large breasts, Dangle earrings, coral stain lipstick, Plum Satin and Lace Bustier 
Gold, tassel necklace, Gal, Short, Lean, Triangular Face, Dark Skin, Chestnut Hair, amber Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, soft breasts, Stud earrings, violet matte lipstick, Olive Green Mesh Garter Belt with Stockings
Indium, statement necklace, Seductress, Tall, in shape, Heart-Shaped Face, Dark Skin, Red Hair, turquoise Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Braided Headband, asymmetrical breasts, Stud earrings, peach velvet lipstick, Red Lace Bra and Panty Set with Garter Belt
Palladium, charm bracelet, Goddess, Short, Firm, Round Face, Tan Skin, Strawberry Blonde Hair, teal Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Top Knot, full breasts, Hoop earrings, orange velvet lipstick, Green Satin Robe with Lace Trim
Rhenium, charm bracelet, Chanteuse, Short, Fit, Heart-Shaped Face, Olive Skin, Auburn Hair, turquoise Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Thick Hair, Viking Braid, small breasts, Cuff earrings, rust matte lipstick, Purple Velvet Robe with Fur Trim 
Osmium, toggle bracelet, Gal, Tall, Skinny, Oval Face, Dark Skin, Black Hair, ice blue Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, round breasts, Clip-on earrings, grape sheer lipstick, Orange Satin Slip
Silver, charm bracelet, Mistress, Short, Narrow Hips, Diamond-Shaped Face, Olive Skin, Chestnut Hair, Hazel Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, round breasts, Cuff earrings, berry gloss lipstick, White Lace Bralette and Boyshorts Set
Germanium, flower brooch, Female Warrior, Average Height, Wide Hips, Square Face, Fair Skin, Honey Blonde Hair, aquamarine Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Curly Hair, Braided Half Up, round breasts, Drop earrings, black stain lipstick, Olive Green Mesh Garter Belt with Stockings
Platinum, tassel necklace, Seductress, Short, Firm, Square Face, Fair Skin, Light Brown Hair, ice blue Eyes, Narrow Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, round breasts, Hoop earrings, lavender cream lipstick, Maroon Satin and Lace Corset 
Radium, charm bracelet, Madam, Short, Wide Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, Green Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, asymmetrical breasts, Dangle earrings, magenta velvet lipstick, Ivory Lace Teddy
Palladium, collar necklace, Countess, Average Height, Thin, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, teal Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Cuff earrings, fuchsia velvet lipstick, Red Satin Babydoll
Radium, cocktail ring, Madam, Tall, Slim, Round Face, Tan Skin, White Hair, blue Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Middle Part Bangs, firm breasts, Stud earrings, teal metallic lipstick, Gold Strappy Bodysuit
Cadmium, bangle bracelet, Charmer, Average Height, Thin, Round Face, Olive Skin, Light Brown Hair, purple Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Fishtail Crown Braid, asymmetrical breasts, Drop earrings, pink gloss lipstick, Olive Green Mesh Garter Belt with Stockings
Palladium, chain bracelet, Seductress, Average Height, Narrow Hips, Oval Face, Tan Skin, Golden Blonde Hair, Amber Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Bob with Bangs, soft breasts, , plum sheer lipstick, Purple Velvet Robe with Fur Trim 
Cadmium, pendant, Mistress, Average Height, Lean, Triangular Face, Fair Skin, Strawberry Blonde Hair, ice blue Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Messy Top Knot, full breasts, , pink satin lipstick, White Lace Bralette and Boyshorts Set
Cadmium, slave bracelet, Diva, Short, Slim, Triangular Face, Dark Skin, Platinum Blonde Hair, Brown Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, firm breasts, Huggie earrings, red sheer lipstick, Pink Lace Chemise with Ruffle Details
